"Concepte";"Nom";"Tipologia";"Superficie";"Usuaris";"Gener [kWh]";"Febrer [kWh]";"Març [kWh]";"Abril [kWh]";"Maig [kWh]";"Juny [kWh]";"Juliol [kWh]";"Agost [kWh]";"Setembre [kWh]";"Octubre [kWh]";"Novembre [kWh]";"Desembre [kWh]";"Gener[€]";"Febrer[€]";"Març[€]";"Abril[€]";"Maig[€]";"Juny[€]";"Juliol[€]";"Agost[€]";"Setembre[€]";"Octubre[€]";"Novembre[€]";"Desembre[€]"
"Total";"PAVELLÓ DE PONT MAJOR";"Esportiu";"";"0";"24.642";"15.585";"13.868";"6.419";"6.750";"4.766";"5.480";"2.185";"4.074";"7.287";"5.892";"24.504";"2.165";"1.538";"1.193";"644";"716";"563";"675";"452";"677";"869";"686";"1.711"
"Total";"PISTA ESPORTIVA FONT DE LA PÓLVORA";"Esportiu";"";"0";"518";"360";"341";"264";"253";"210";"412";"620";"600";"621";"591";"594";"125";"90";"97";"85";"84";"76";"110";"144";"139";"144";"138";"141"
"Total";"CAMP DE FUTBOL TORRES DE PALAU";"Esportiu";"";"0";"23.471";"19.776";"6.963";"10.821";"3.625";"4.967";"5.264";"5.489";"7.720";"8.814";"7.971";"12.224";"2.410";"2.054";"1.397";"963";"805";"860";"926";"944";"1.264";"1.375";"1.368";"1.411"
"Total";"PISTA ESPORTIVA TORRE GIRONELLA";"Esportiu";"";"0";"237";"184";"203";"144";"127";"123";"123";"147";"305";"252";"260";"-620";"48";"38";"50";"38";"35";"34";"34";"39";"47";"48";"51";"-55"
"Total";"L'ESTACIÓ ESPAI JOVE";"Oficina";"";"0";"19.009";"13.122";"1.635";"795";"989";"3.390";"4.337";"2.617";"2.277";"7.242";"5.897";"15.280";"1.308";"969";"385";"332";"364";"538";"872";"691";"599";"722";"644";"1.136"
"Total";"PROMOCIÓ DE LA SALUT";"Oficina";"";"0";"1.510";"1.413";"428";"406";"466";"1.053";"1.942";"1606";"877";"1036";"2.049";"2.805";"347";"321";"207";"198";"210";"295";"424";"374";"265";"286";"404";"511"
"Total";"WC PLAÇA SANTA EUGÈNIA";"Altres";"";"0";"930";"623";"413";"364";"101";"79";"105";"113";"216";"245";"886";"916";"176";"124";"91";"82";"40";"36";"41";"42";"58";"64";"168";"173"
"Total";"WC CARME";"Altres";"";"0";"16";"13";"13";"13";"14";"14";"15";"18";"23";"33";"49";"53";"22";"20";"21";"21";"21";"21";"21";"22";"22";"24";"26";"28"
"Total";"WC PLAÇA INDEPENDÈNCIA";"Altres";"";"0";"-677";"-374";"54";"53";"54";"272";"378";"378";"366";"378";"366";"362";"-81";"-35";"35";"34";"35";"70";"88";"88";"85";"88";"85";"86"
"Total";"ASCENSOR PUJADA SANT MARTÍ";"Altres";"";"0";"280";"271";"201";"170";"150";"151";"165";"163";"154";"151";"128";"131";"88";"84";"76";"69";"67";"66";"70";"69";"66";"67";"62";"65"
"Total";"VIVERS HORTES SANTA EUGÈNIA";"Altres";"";"0";"1988";"1374";"1102";"496";"157";"207";"524";"301";"430";"893";"794";"3018";"425";"307";"261";"147";"87";"94";"154";"113";"135";"222";"202";"613"
"Total";"JARDINS DELS ALEMANYS";"Altres";"";"0";"489";"480";"580";"416";"12";"0";"0";"0";"0";"0";"1";"0";"123";"119";"138";"103";"26";"39";"41";"41";"39";"41";"41";"43"
